cls,qtd_features,scoring,score,features
LinearRegression(),13,d2_absolute_error_score,0.6141364767461004,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),14,rand_score,0.9941414141414141,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04', 'NDVI_d08',
       'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),14,r2,0.8568329558907941,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04', 'NDVI_d08',
       'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),14,max_error,-15.51649720945316,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04', 'NDVI_d08',
       'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),14,neg_mean_squared_error,-67.21539856163147,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04', 'NDVI_d08',
       'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),14,explained_variance,0.8639971148193697,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04', 'NDVI_d08',
       'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),14,d2_absolute_error_score,0.6012614634091559,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04', 'NDVI_d08',
       'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),15,rand_score,0.9941414141414141,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),15,r2,0.8551560805820653,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),15,max_error,-15.501065572962734,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'GNDVI_d01', 'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'MCARI1_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
